Wetterdaten [Temperatur: 33,7°C, Regenwahrscheinlichkeit: 0%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T01:00]
Wetterdaten [Temperatur: 34,9°C, Regenwahrscheinlichkeit: 21%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T02:00]
Wetterdaten [Temperatur: 36,0°C, Regenwahrscheinlichkeit: 4%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T03:00]
Wetterdaten [Temperatur: 36,4°C, Regenwahrscheinlichkeit: 4%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T04:00]
Wetterdaten [Temperatur: 35,5°C, Regenwahrscheinlichkeit: 24%, Bedingung: RAIN, Zeitpunkt: 2025-06-01T05:00]
Wetterdaten [Temperatur: 37,1°C, Regenwahrscheinlichkeit: 24%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T06:00]
Wetterdaten [Temperatur: 38,9°C, Regenwahrscheinlichkeit: 28%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T07:00]
Wetterdaten [Temperatur: 39,4°C, Regenwahrscheinlichkeit: 24%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T08:00]
Wetterdaten [Temperatur: 41,2°C, Regenwahrscheinlichkeit: 29%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T09:00]
Wetterdaten [Temperatur: 43,5°C, Regenwahrscheinlichkeit: 24%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T10:00]
Wetterdaten [Temperatur: 45,0°C, Regenwahrscheinlichkeit: 18%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T11:00]
Wetterdaten [Temperatur: 45,0°C, Regenwahrscheinlichkeit: 19%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T12:00]
Wetterdaten [Temperatur: 44,5°C, Regenwahrscheinlichkeit: 24%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T13:00]
Wetterdaten [Temperatur: 45,0°C, Regenwahrscheinlichkeit: 17%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T14:00]
