Wetterdaten [Temperatur: 28,4°C, Regenwahrscheinlichkeit: 16%, Bedingung: RAIN, Zeitpunkt: 2025-06-01T01:00]
Wetterdaten [Temperatur: 25,9°C, Regenwahrscheinlichkeit: 68%, Bedingung: THUNDERSTORM, Zeitpunkt: 2025-06-01T02:00]
Wetterdaten [Temperatur: 26,2°C, Regenwahrscheinlichkeit: 13%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T03:00]
Wetterdaten [Temperatur: 25,7°C, Regenwahrscheinlichkeit: 18%, Bedingung: RAIN, Zeitpunkt: 2025-06-01T04:00]
Wetterdaten [Temperatur: 23,1°C, Regenwahrscheinlichkeit: 80%, Bedingung: THUNDERSTORM, Zeitpunkt: 2025-06-01T05:00]
Wetterdaten [Temperatur: 21,4°C, Regenwahrscheinlichkeit: 29%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T06:00]
Wetterdaten [Temperatur: 22,9°C, Regenwahrscheinlichkeit: 21%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T07:00]
Wetterdaten [Temperatur: 22,6°C, Regenwahrscheinlichkeit: 29%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T08:00]
Wetterdaten [Temperatur: 23,1°C, Regenwahrscheinlichkeit: 10%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T09:00]
Wetterdaten [Temperatur: 24,6°C, Regenwahrscheinlichkeit: 3%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T10:00]
Wetterdaten [Temperatur: 27,0°C, Regenwahrscheinlichkeit: 19%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T11:00]
Wetterdaten [Temperatur: 24,0°C, Regenwahrscheinlichkeit: 74%, Bedingung: THUNDERSTORM, Zeitpunkt: 2025-06-01T12:00]
Wetterdaten [Temperatur: 24,1°C, Regenwahrscheinlichkeit: 17%, Bedingung: CLOUDY, Zeitpunkt: 2025-06-01T13:00]
Wetterdaten [Temperatur: 26,0°C, Regenwahrscheinlichkeit: 18%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T14:00]
Wetterdaten [Temperatur: 27,5°C, Regenwahrscheinlichkeit: 2%, Bedingung: SUNNY, Zeitpunkt: 2025-06-01T15:00]
